measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Belgium,Both,All Ages,Chronic respiratory diseases,Number,1990,1075318.4974,1151676.63727,1003050.71129
Prevalence,Belgium,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.115076537387,0.123444133623,0.107464784646
Prevalence,Belgium,Both,All Ages,Chronic respiratory diseases,Rate,1990,10777.6044217,11542.9198402,10053.2854287
Prevalence,Guyana,Both,All Ages,Chronic respiratory diseases,Number,1990,58698.7934383,66422.4925662,51424.8299581
Prevalence,Guyana,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.0774462235838,0.0875641112989,0.0678490328541
Prevalence,Guyana,Both,All Ages,Chronic respiratory diseases,Rate,1990,7532.61316302,8523.76876111,6599.17058526
Prevalence,United Kingdom,Both,All Ages,Cardiovascular diseases,Number,1990,6452043.94033,6800032.21869,6121711.47827
Prevalence,United Kingdom,Both,All Ages,Cardiovascular diseases,Percent,1990,0.118203817338,0.124594870506,0.112100329908
Prevalence,United Kingdom,Both,All Ages,Cardiovascular diseases,Rate,1990,11207.7351763,11812.2196628,10633.9203063
Prevalence,Estonia,Both,All Ages,Cardiovascular diseases,Number,1990,145482.128769,150640.489316,140513.567119
Prevalence,Estonia,Both,All Ages,Cardiovascular diseases,Percent,1990,0.0977792285942,0.101242454973,0.0943236716321
Prevalence,Estonia,Both,All Ages,Cardiovascular diseases,Rate,1990,9276.01208631,9604.91169197,8959.21415169
Prevalence,Somalia,Both,All Ages,Cardiovascular diseases,Number,1990,211404.749697,219821.68637,202403.033862
Prevalence,Somalia,Both,All Ages,Cardiovascular diseases,Percent,1990,0.0297890172954,0.030983722803,0.0285105673553
Prevalence,Somalia,Both,All Ages,Cardiovascular diseases,Rate,1990,2946.21130725,3063.5127114800002,2820.76021395
Prevalence,Cyprus,Both,All Ages,Chronic respiratory diseases,Number,1990,74287.1021507,80725.6189499,68238.7396438
Prevalence,Cyprus,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.102014019123,0.110890526682,0.0936852498285
Prevalence,Cyprus,Both,All Ages,Chronic respiratory diseases,Rate,1990,9573.6524206,10403.407790700001,8794.1776709
Prevalence,The Gambia,Both,All Ages,Cardiovascular diseases,Number,1990,28003.9433566,29167.3580323,26808.5467951
Prevalence,The Gambia,Both,All Ages,Cardiovascular diseases,Percent,1990,0.028867641683,0.0300905829608,0.0276620090779
Prevalence,The Gambia,Both,All Ages,Cardiovascular diseases,Rate,1990,2839.20151394,2957.15521305,2718.00530653
Prevalence,Vanuatu,Both,All Ages,Cardiovascular diseases,Number,1991,6166.01243456,6421.45976239,5921.68296302
Prevalence,Vanuatu,Both,All Ages,Cardiovascular diseases,Percent,1991,0.0406399700192,0.0422805530724,0.0390525193971
Prevalence,Vanuatu,Both,All Ages,Cardiovascular diseases,Rate,1991,4003.9614388299997,4169.83869924,3845.3036688700004
Prevalence,American Samoa,Both,All Ages,Chronic respiratory diseases,Number,1990,4995.1195442,5619.73101322,4432.70084625
Prevalence,American Samoa,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.107712762317,0.12116610446,0.0956346419963
Prevalence,American Samoa,Both,All Ages,Chronic respiratory diseases,Rate,1990,10277.7370772,11562.9100139,9120.529235850001
Prevalence,Turkmenistan,Both,All Ages,Chronic respiratory diseases,Number,1990,241601.386582,264507.74569,219633.356278
Prevalence,Turkmenistan,Both,All Ages,Chronic respiratory diseases,Percent,1990,0.0684538625645,0.0749158941551,0.0624625328765
Prevalence,Turkmenistan,Both,All Ages,Chronic respiratory diseases,Rate,1990,6527.17787214,7146.0231628,5933.68276302
Prevalence,Fiji,Both,All Ages,Cardiovascular diseases,Number,1990,33215.5049093,34779.1408022,31770.118674
Prevalence,Fiji,Both,All Ages,Cardiovascular diseases,Percent,1990,0.0448188871559,0.0469095743986,0.0428986336178
Prevalence,Fiji,Both,All Ages,Cardiovascular diseases,Rate,1990,4355.30457046,4560.33263099,4165.78171679
Prevalence,Egypt,Both,All Ages,Cardiovascular diseases,Number,1991,2432753.06894,2523905.46708,2344211.17682
Prevalence,Egypt,Both,All Ages,Cardiovascular diseases,Percent,1991,0.0446952587257,0.0464174333871,0.0430920851484
Prevalence,Egypt,Both,All Ages,Cardiovascular diseases,Rate,1991,4337.77777839,4500.30921329,4179.90106783
Prevalence,Japan,Both,All Ages,Cardiovascular diseases,Number,1991,10288088.7472,10874803.6806,9745878.51582
Prevalence,Japan,Both,All Ages,Cardiovascular diseases,Percent,1991,0.0874978929979,0.0925501775002,0.0830440591615
Prevalence,Japan,Both,All Ages,Cardiovascular diseases,Rate,1991,8149.1841226199995,8613.92039554,7719.69997673
Prevalence,Japan,Both,All Ages,Chronic respiratory diseases,Number,1991,9504148.59713,10170535.2372,8845166.31861
Prevalence,Japan,Both,All Ages,Chronic respiratory diseases,Percent,1991,0.0808297480022,0.0863982225458,0.0753179585556
Prevalence,Japan,Both,All Ages,Chronic respiratory diseases,Rate,1991,7528.225965979999,8056.070112740001,7006.246806080001
Prevalence,Eritrea,Both,All Ages,Cardiovascular diseases,Number,1991,60401.5357427,62893.7880546,57954.6622839
Prevalence,Eritrea,Both,All Ages,Cardiovascular diseases,Percent,1991,0.025803644843,0.0268959566936,0.0247300250851
Prevalence,Eritrea,Both,All Ages,Cardiovascular diseases,Rate,1991,2555.69047359,2661.14185678,2452.15914591
Prevalence,Laos,Both,All Ages,Chronic respiratory diseases,Number,1991,368855.565767,412801.878966,329710.297779
Prevalence,Laos,Both,All Ages,Chronic respiratory diseases,Percent,1991,0.0882431999076,0.0986618740604,0.0789293924083
Prevalence,Laos,Both,All Ages,Chronic respiratory diseases,Rate,1991,8675.474015079999,9709.09024215,7754.77825565
Prevalence,Swaziland,Both,All Ages,Chronic respiratory diseases,Number,1991,53119.9276532,58236.7090458,48363.032777
