Country Name,ISO 2,ISO 3,ISO 2,Country Name,Name that should be used for Excel map charts,GNR Region,Income Group,LDC,SIDS,DAC Member,Dev Country,Fragility,2018 Population,FCAS,GNR Subregion,Resource-Rich,PRCR,CBLB,Poverty rate above 30%,Poverty rate below 2%
Afghanistan,AF,AFG,AF,Afghanistan,Afghanistan,Asia,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,37172386,,Southern Asia,Non resource-rich,PRCR,1,,
Aland Islands,AX,ALA,AX,Aland Islands,,Europe,,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,,,Northern Europe,Non resource-rich,Non PRCR,0,,
Albania,AL,ALB,AL,Albania,Albania,Europe,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,2866376,,Southern Europe,Non resource-rich,Non PRCR,0,0,1
Algeria,DZ,DZA,DZ,Algeria,Algeria,Africa,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,42228429,,Northern Africa,Non resource-rich,Non PRCR,0,0,1
American Samoa,AS,ASM,AS,American Samoa,,Oceania,UMIC,Non LDC,SIDS,Non DAC,Not Developing,Not Fragile,55465,,Polynesia,Non resource-rich,Non PRCR,0,,
Andorra,AD,AND,AD,Andorra,Andorra,Europe,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,77006,,Southern Europe,Non resource-rich,Non PRCR,0,,
Angola,AO,AGO,AO,Angola,Angola,Africa,LMIC,LDC,Non SIDS,Non DAC,Developing Country,Fragile,30809762,,Middle Africa,Resource-rich,PRCR,0,0,0
Anguilla,AI,AIA,AI,Anguilla,,Latin America and the Caribbean,,Non LDC,SIDS,Non DAC,Not Developing,Not Fragile,,,Caribbean,Non resource-rich,Non PRCR,0,,
Antarctica,AQ,ATA,AQ,Antarctica,,0,,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,,,0,Non resource-rich,Non PRCR,0,,
Antigua and Barbuda,AG,ATG,AG,Antigua and Barbuda,Antigua and Barbuda,Latin America and the Caribbean,HIC,Non LDC,SIDS,Non DAC,Developing Country,Not fragile,96286,,Caribbean,Non resource-rich,Non PRCR,0,,
Antigua & Barbuda,AG,ATG,AG,Antigua & Barbuda,Antigua and Barbuda,Latin America and the Caribbean,HIC,Non LDC,SIDS,Non DAC,Developing Country,Not fragile,96286,,Caribbean,Non resource-rich,Non PRCR,0,,
Argentina,AR,ARG,AR,Argentina,Argentina,Latin America and the Caribbean,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,44494502,,South America,Non resource-rich,Non PRCR,0,,
Armenia,AM,ARM,AM,Armenia,Armenia,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,2951776,,Western Asia,Non resource-rich,Non PRCR,0,0,1
Aruba,AW,ABW,AW,Aruba,,Latin America and the Caribbean,HIC,Non LDC,SIDS,Non DAC,Not Developing,Not Fragile,105845,,Caribbean,Non resource-rich,Non PRCR,0,,
Australia,AU,AUS,AU,Australia,Australia,Oceania,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,24992369,FCAS,Australia and New Zealand,Non resource-rich,Non PRCR,0,0,1
Austria,AT,AUT,AT,Austria,Austria,Europe,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,8847037,,Western Europe,Non resource-rich,Non PRCR,0,0,1
Azerbaijan,AZ,AZE,AZ,Azerbaijan,Azerbaijan,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,9942334,,Western Asia,Non resource-rich,Non PRCR,0,0,1
Bahamas,BS,BHS,BS,Bahamas,Bahamas,Latin America and the Caribbean,HIC,Non LDC,SIDS,Non DAC,Not Developing,Not Fragile,385640,,Caribbean,Non resource-rich,Non PRCR,0,,
The Bahamas,BS,BHS,BS,The Bahamas,Bahamas,Latin America and the Caribbean,HIC,Non LDC,SIDS,Non DAC,Not Developing,Not Fragile,385640,,Caribbean,Non resource-rich,Non PRCR,0,,
"Bahamas, the",BS,BHS,BS,"Bahamas, the",Bahamas,Latin America and the Caribbean,HIC,Non LDC,SIDS,Non DAC,Not Developing,Not Fragile,385640,,Caribbean,Non resource-rich,Non PRCR,0,,
Bahrain,BH,BHR,BH,Bahrain,Bahrain,Asia,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,1569439,FCAS,Western Asia,Non resource-rich,Non PRCR,0,,
Bangladesh,BD,BGD,BD,Bangladesh,Bangladesh,Asia,LMIC,LDC,Non SIDS,Non DAC,Developing Country,Fragile,161356039,,Southern Asia,Non resource-rich,Non PRCR,0,0,0
Barbados,BB,BRB,BB,Barbados,Barbados,Latin America and the Caribbean,HIC,Non LDC,SIDS,Non DAC,Not Developing,Not Fragile,286641,FCAS,Caribbean,Non resource-rich,Non PRCR,0,,
Belarus,BY,BLR,BY,Belarus,Belarus,Europe,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,9485386,,Eastern Europe,Non resource-rich,Non PRCR,0,0,1
Belgium,BE,BEL,BE,Belgium,Belgium,Europe,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,11422068,,Western Europe,Non resource-rich,Non PRCR,0,0,1
Belize,BZ,BLZ,BZ,Belize,Belize,Latin America and the Caribbean,UMIC,Non LDC,SIDS,Non DAC,Developing Country,Not fragile,383071,,Central America,Non resource-rich,Non PRCR,0,0,0
Benin,BJ,BEN,BJ,Benin,Benin,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Not fragile,11485048,,Western Africa,Non resource-rich,Non PRCR,1,1,0
Bermuda,BM,BMU,BM,Bermuda,,N. America,HIC,Non LDC,SIDS,Non DAC,Not Developing,Not Fragile,63968,,Northern America,Non resource-rich,Non PRCR,0,,
Bhutan,BT,BTN,BT,Bhutan,Bhutan,Asia,LMIC,LDC,Non SIDS,Non DAC,Developing Country,Not fragile,754394,,Southern Asia,Non resource-rich,Non PRCR,0,0,1
Bolivia,BO,BOL,BO,Bolivia,Bolivia,Latin America and the Caribbean,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,11353142,,South America,Resource-rich,Non PRCR,0,0,0
Bolivia (Plurinational State of),BO,BOL,BO,Bolivia (Plurinational State of),Bolivia,Latin America and the Caribbean,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,11353142,,South America,Resource-rich,Non PRCR,0,0,0
"Bonaire, Sint Eustatius and Saba",BQ,BES,BQ,"Bonaire, Sint Eustatius and Saba",,Latin America and the Caribbean,,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,,,Caribbean,Non resource-rich,Non PRCR,0,,
Bosnia and Herzegovina,BA,BIH,BA,Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,3323929,,Southern Europe,Non resource-rich,Non PRCR,0,0,1
Bosnia & Herzegovina,BA,BIH,BA,Bosnia & Herzegovina,Bosnia and Herzegovina,Europe,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,3323929,,Southern Europe,Non resource-rich,Non PRCR,0,0,1
Bosnia Herzegovina,BA,BIH,BA,Bosnia Herzegovina,Bosnia and Herzegovina,Europe,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,3323929,,Southern Europe,Non resource-rich,Non PRCR,0,0,1
Botswana,BW,BWA,BW,Botswana,Botswana,Africa,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,2254126,,Southern Africa,Non resource-rich,Non PRCR,0,0,0
Bouvet Island,BV,BVT,BV,Bouvet Island,,Latin America and the Caribbean,,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,,,South America,Non resource-rich,Non PRCR,0,,
Brazil,BR,BRA,BR,Brazil,Brazil,Latin America and the Caribbean,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,209469333,,South America,Non resource-rich,Non PRCR,0,0,0
British Virgin Islands,VG,VGB,VG,British Virgin Islands,,Latin America and the Caribbean,HIC,Non LDC,SIDS,Non DAC,Not Developing,Not Fragile,29802,,Caribbean,Non resource-rich,Non PRCR,0,,
British Indian Ocean Territory,IO,IOT,IO,British Indian Ocean Territory,,Africa,,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,,,Eastern Africa,Non resource-rich,Non PRCR,0,,
Brunei Darussalam,BN,BRN,BN,Brunei Darussalam,Brunei Darussalam,Asia,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,428962,FCAS,South-eastern Asia,Non resource-rich,Non PRCR,0,,
Brunei,BN,BRN,BN,Brunei,Brunei Darussalam,Asia,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,428962,FCAS,South-eastern Asia,Non resource-rich,Non PRCR,0,,
Bulgaria,BG,BGR,BG,Bulgaria,Bulgaria,Europe,UMIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,7024216,,Eastern Europe,Non resource-rich,Non PRCR,0,0,1
Burkina Faso,BF,BFA,BF,Burkina Faso,Burkina Faso,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Fragile,19751535,,Western Africa,Non resource-rich,PRCR,0,1,0
Burundi,BI,BDI,BI,Burundi,Burundi,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,11175378,,Eastern Africa,Non resource-rich,PRCR,1,1,0
Cambodia,KH,KHM,KH,Cambodia,Cambodia,Asia,LMIC,LDC,Non SIDS,Non DAC,Developing Country,Not fragile,16249798,,South-eastern Asia,Non resource-rich,Non PRCR,0,,
Cameroon,CM,CMR,CM,Cameroon,Cameroon,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,25216237,,Middle Africa,Resource-rich,Non PRCR,0,0,0
Canada,CA,CAN,CA,Canada,Canada,N. America,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,37058856,FCAS,Northern America,Non resource-rich,Non PRCR,0,0,1
Cape Verde,CV,CPV,CV,Cape Verde,Cabo Verde,Africa,LMIC,Non LDC,SIDS,Non DAC,Developing Country,Not fragile,543767,,Western Africa,Non resource-rich,Non PRCR,0,0,0
Cabo Verde,CV,CPV,CV,Cabo Verde,Cabo Verde,Africa,LMIC,Non LDC,SIDS,Non DAC,Developing Country,Not fragile,543767,,Western Africa,Non resource-rich,Non PRCR,0,0,0
Cabo Verde Republic of,CV,CPV,CV,Cabo Verde Republic of,Cabo Verde,Africa,LMIC,Non LDC,SIDS,Non DAC,Developing Country,Not fragile,543767,,Western Africa,Non resource-rich,Non PRCR,0,0,0
Cayman Islands,KY,CYM,KY,Cayman Islands,,Latin America and the Caribbean,HIC,Non LDC,SIDS,Non DAC,Not Developing,Not Fragile,64174,,Caribbean,Non resource-rich,Non PRCR,0,,
Central African Republic,CF,CAF,CF,Central African Republic,Central African Republic,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,4666377,,Middle Africa,Non resource-rich,PRCR,1,1,0
C.A.R.,CF,CAF,CF,C.A.R.,Central African Republic,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,4666377,,Middle Africa,Non resource-rich,PRCR,1,1,0
CAR,CF,CAF,CF,CAR,Central African Republic,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,4666377,,Middle Africa,Non resource-rich,PRCR,1,1,0
Chad,TD,TCD,TD,Chad,Chad,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,15477751,,Middle Africa,Resource-rich,PRCR,1,1,0
Chile,CL,CHL,CL,Chile,Chile,Latin America and the Caribbean,HIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,18729160,FCAS,South America,Non resource-rich,Non PRCR,0,0,1
China,CN,CHN,CN,China,China,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,1392730000,,Eastern Asia,Non resource-rich,Non PRCR,0,0,1
"China, People's Republic of",CN,CHN,CN,"China, People's Republic of",China,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,1392730000,,Eastern Asia,Non resource-rich,Non PRCR,0,0,1
People's Republic of China,CN,CHN,CN,People's Republic of China,China,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,1392730000,,Eastern Asia,Non resource-rich,Non PRCR,0,0,1
China (People's Republic of),CN,CHN,CN,China (People's Republic of),China,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,1392730000,,Eastern Asia,Non resource-rich,Non PRCR,0,0,1
"China, People's Rep. of",CN,CHN,CN,"China, People's Rep. of",China,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,1392730000,,Eastern Asia,Non resource-rich,Non PRCR,0,0,1
