iso3c,Country Name,WFP_rank,cardio_rank,diabetes_rank,hypertension_rank,GFSI_rank,UHC_rank,sleeping_rank,INFORM_rank,SP.POP.65UP.TO.ZS_rank,SP.URB.TOTL.IN.ZS_rank,SH.STA.HYGN.ZS_rank,SH.MED.BEDS.ZS_rank,SH.MED.PHYS.ZS_rank
AB9,Abyei Area,,,,,,,,,,,,,
ABW,Aruba,,,42,,,,,,54,154,,,88
AFG,Afghanistan,6,164,73,78,,8,10,4,178,192,38,13,45
AGO,Angola,22,193,185,95,14,15,19,36,188,100,33,27,39
AIA,Anguilla,,,148,,,,,,,,,,
ALA,Aland Islands,,,,,,,,,,,,,
ALB,Albania,108,26,79,21,,61,68,101,52,110,,118,93
AND,Andorra,,42,95,54,,,,,,33,,100,171
ANT,Netherlands Antilles,,,48,,,,,,,,,,
ARE,United Arab Emirates,148,135,16,190,92,133,,164,192,41,,46,145
ARG,Argentina,132,69,148,58,77,139,,124,62,22,,163,183
ARM,Armenia,124,48,130,29,,97,66,110,61,104,88,148,192
ASM,American Samoa,,88,,,,,,,,37,,,72
ATA,Antarctica,,,,,,,,,,,,,
ATF,French Southern Territories,,,,,,,,,,,,,
ATG,Antigua and Barbuda,,67,30,58,,113,,143,74,194,,140,159
AUS,Australia,152,58,160,162,102,179,,164,39,42,,140,177
AUT,Austria,182,17,120,29,104,156,,164,22,115,,188,198
AZE,Azerbaijan,95,84,130,78,61,80,27,94,99,124,72,155,174
BDI,Burundi,21,177,169,113,2,23,36,9,187,213,6,27,22
BEL,Belgium,184,13,183,68,99,172,,170,23,12,,175,164
BEN,Benin,40,184,221,122,29,16,27,36,149,147,15,13,17
BES,"Bonaire, Sint Eustatius and Saba",,,,,,,,,,,,,
BFA,Burkina Faso,33,182,99,54,27,18,19,9,184,186,16,8,20
BGD,Bangladesh,50,109,73,127,31,43,45,19,111,169,35,27,62
BGR,Bulgaria,128,1,139,6,63,82,,129,7,71,,183,186
BHR,Bahrain,160,105,19,185,64,145,,160,183,29,,85,82
BHS,Bahamas,103,87,85,124,,128,,129,87,47,,118,125
BIH,Bosnia and Herzegovina,113,5,79,3,,66,,110,35,145,91,135,131
